Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
6,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.75,0.739,0.685,2745.835673093796
6,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.758,0.754,0.689,1876.8964853286743
6,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.758,0.761,0.702,1816.982709646225
6,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.755,0.761,0.692,1260.713630437851
6,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.764,0.754,0.679,1469.2803864479065
6,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.758,0.761,0.679,1578.1727755069733
6,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.755,0.746,0.675,1152.0403525829315
6,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.765,0.746,0.692,1151.4899773597717
6,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.765,0.754,0.702,1843.9661259651184
6,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.757,0.754,0.672,1472.3033974170685
6,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.753,0.746,0.689,1202.9156332015991
7,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.757,0.754,0.708,2005.3459391593933
7,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.751,0.754,0.702,1638.6868743896484
7,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.75,0.761,0.672,1726.000078678131
7,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.753,0.761,0.692,1521.856442451477
7,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.758,0.746,0.698,1729.9496643543243
7,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.757,0.754,0.672,1575.4957127571106
7,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.765,0.761,0.689,3233.741071462631
7,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.758,0.761,0.682,2029.3334975242615
7,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.75,0.754,0.698,1150.7033152580261
7,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.753,0.746,0.685,1153.0514018535614
7,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.755,0.754,0.679,1202.8002157211304
7,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.758,0.746,0.679,1150.9778900146484
